+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |  6 |       NEW |     READY |
|                 0 |  6 |     READY |   RUNNING |
|                 2 |  6 |   RUNNING |   WAITING |
|                 3 |  8 |       NEW |     READY |
|                 3 |  8 |     READY |   RUNNING |
|                 7 |  6 |   WAITING |     READY |
|                 8 |  8 |   RUNNING |   WAITING |
|                 8 |  6 |     READY |   RUNNING |
|                10 |  6 |   RUNNING |   WAITING |
|                11 |  8 |   WAITING |     READY |
|                11 |  8 |     READY |   RUNNING |
|                15 |  6 |   WAITING |     READY |
|                16 |  8 |   RUNNING |   WAITING |
|                16 |  6 |     READY |   RUNNING |
|                18 |  6 |   RUNNING |   WAITING |
|                19 |  8 |   WAITING |     READY |
|                19 |  8 |     READY |   RUNNING |
|                23 |  6 |   WAITING |     READY |
|                24 |  8 |   RUNNING |   WAITING |
|                24 |  6 |     READY |   RUNNING |
|                26 |  6 |   RUNNING |   WAITING |
|                27 |  8 |   WAITING |     READY |
|                27 |  8 |     READY |   RUNNING |
|                31 |  6 |   WAITING |     READY |
|                32 |  8 |   RUNNING |   WAITING |
|                32 |  6 |     READY |   RUNNING |
|                34 |  6 |   RUNNING |   WAITING |
|                35 |  8 |   WAITING |     READY |
|                35 |  8 |     READY |   RUNNING |
|                39 |  6 |   WAITING |     READY |
|                40 |  8 |   RUNNING |   WAITING |
|                40 |  6 |     READY |   RUNNING |
|                42 |  6 |   RUNNING |   WAITING |
|                43 |  8 |   WAITING |     READY |
|                43 |  8 |     READY |   RUNNING |
|                47 |  6 |   WAITING |     READY |
|                48 |  8 |   RUNNING |   WAITING |
|                48 |  6 |     READY |   RUNNING |
|                50 |  1 |       NEW |     READY |
|                50 |  6 |   RUNNING |   WAITING |
|                50 |  1 |     READY |   RUNNING |
|                51 |  8 |   WAITING |     READY |
|                55 |  6 |   WAITING |     READY |
|                90 |  3 |       NEW |     READY |
|                90 |  1 |   RUNNING |   WAITING |
|                90 |  3 |     READY |   RUNNING |
|                92 |  3 |   RUNNING |   WAITING |
|                92 |  6 |     READY |   RUNNING |
|                94 |  6 |   RUNNING |   WAITING |
|                94 |  8 |     READY |   RUNNING |
|                97 |  3 |   WAITING |     READY |
|                99 |  6 |   WAITING |     READY |
|                99 |  8 |   RUNNING |   WAITING |
|                99 |  3 |     READY |   RUNNING |
|               100 |  9 |       NEW |     READY |
|               101 |  3 |   RUNNING |   WAITING |
|               101 |  6 |     READY |   RUNNING |
|               102 |  8 |   WAITING |     READY |
|               103 |  6 |   RUNNING |   WAITING |
|               103 |  8 |     READY |   RUNNING |
|               106 |  3 |   WAITING |     READY |
|               108 |  6 |   WAITING |     READY |
|               108 |  8 |   RUNNING |   WAITING |
|               108 |  3 |     READY |   RUNNING |
|               110 |  1 |   WAITING |     READY |
|               110 |  3 |   RUNNING |   WAITING |
|               110 |  1 |     READY |   RUNNING |
|               111 |  8 |   WAITING |     READY |
|               115 |  3 |   WAITING |     READY |
|               150 |  1 |   RUNNING |   WAITING |
|               150 |  3 |     READY |   RUNNING |
|               152 |  3 |   RUNNING |   WAITING |
|               152 |  6 |     READY |   RUNNING |
|               154 |  6 |   RUNNING |   WAITING |
|               154 |  8 |     READY |   RUNNING |
|               157 |  3 |   WAITING |     READY |
|               159 |  6 |   WAITING |     READY |
|               159 |  8 |   RUNNING |   WAITING |
|               159 |  3 |     READY |   RUNNING |
|               161 |  3 |   RUNNING |   WAITING |
|               161 |  6 |     READY |   RUNNING |
|               162 |  8 |   WAITING |     READY |
|               163 |  6 |   RUNNING |   WAITING |
|               163 |  8 |     READY |   RUNNING |
|               166 |  3 |   WAITING |     READY |
|               168 |  6 |   WAITING |     READY |
|               168 |  8 |   RUNNING |   WAITING |
|               168 |  3 |     READY |   RUNNING |
|               170 |  1 |   WAITING |     READY |
|               170 |  3 |   RUNNING |   WAITING |
|               170 |  1 |     READY |   RUNNING |
|               171 |  8 |   WAITING |     READY |
|               175 |  3 |   WAITING |     READY |
|               210 |  1 |   RUNNING |   WAITING |
|               210 |  3 |     READY |   RUNNING |
|               212 |  3 |   RUNNING |   WAITING |
|               212 |  6 |     READY |   RUNNING |
|               214 |  6 |   RUNNING |   WAITING |
|               214 |  8 |     READY |   RUNNING |
|               217 |  3 |   WAITING |     READY |
|               219 |  6 |   WAITING |     READY |
|               219 |  8 |   RUNNING |   WAITING |
|               219 |  3 |     READY |   RUNNING |
|               221 |  3 |   RUNNING |   WAITING |
|               221 |  6 |     READY |   RUNNING |
|               222 |  8 |   WAITING |     READY |
|               223 |  6 |   RUNNING |   WAITING |
|               223 |  8 |     READY |   RUNNING |
|               226 |  3 |   WAITING |     READY |
|               228 |  6 |   WAITING |     READY |
|               228 |  8 |   RUNNING |   WAITING |
|               228 |  3 |     READY |   RUNNING |
|               230 |  1 |   WAITING |     READY |
|               230 |  3 |   RUNNING |   WAITING |
|               230 |  1 |     READY |   RUNNING |
|               231 |  8 |   WAITING |     READY |
|               235 |  3 |   WAITING |     READY |
|               270 |  1 |   RUNNING |   WAITING |
|               270 |  3 |     READY |   RUNNING |
|               272 |  3 |   RUNNING |   WAITING |
|               272 |  6 |     READY |   RUNNING |
|               274 |  6 |   RUNNING |   WAITING |
|               274 |  8 |     READY |   RUNNING |
|               277 |  3 |   WAITING |     READY |
|               279 |  6 |   WAITING |     READY |
|               279 |  8 |   RUNNING |   WAITING |
|               279 |  3 |     READY |   RUNNING |
|               281 |  3 |   RUNNING |   WAITING |
|               281 |  6 |     READY |   RUNNING |
