+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |  6 |       NEW |     READY |
|                 0 |  6 |     READY |   RUNNING |
|                 2 |  6 |   RUNNING |   WAITING |
|                 3 |  8 |       NEW |     READY |
|                 3 |  8 |     READY |   RUNNING |
|                 7 |  6 |   WAITING |     READY |
|                 8 |  8 |   RUNNING |   WAITING |
|                 8 |  6 |     READY |   RUNNING |
|                10 |  6 |   RUNNING |   WAITING |
|                11 |  8 |   WAITING |     READY |
|                11 |  8 |     READY |   RUNNING |
|                15 |  6 |   WAITING |     READY |
|                16 |  8 |   RUNNING |   WAITING |
|                16 |  6 |     READY |   RUNNING |
|                18 |  6 |   RUNNING |   WAITING |
|                19 |  8 |   WAITING |     READY |
|                19 |  8 |     READY |   RUNNING |
|                23 |  6 |   WAITING |     READY |
|                24 |  8 |   RUNNING |   WAITING |
|                24 |  6 |     READY |   RUNNING |
|                26 |  6 |   RUNNING |   WAITING |
|                27 |  8 |   WAITING |     READY |
|                27 |  8 |     READY |   RUNNING |
|                31 |  6 |   WAITING |     READY |
|                32 |  8 |   RUNNING |   WAITING |
|                32 |  6 |     READY |   RUNNING |
|                34 |  6 |   RUNNING |   WAITING |
|                35 |  8 |   WAITING |     READY |
|                35 |  8 |     READY |   RUNNING |
|                39 |  6 |   WAITING |     READY |
|                40 |  8 |   RUNNING |   WAITING |
|                40 |  6 |     READY |   RUNNING |
|                42 |  6 |   RUNNING |   WAITING |
|                43 |  8 |   WAITING |     READY |
|                43 |  8 |     READY |   RUNNING |
|                47 |  6 |   WAITING |     READY |
|                48 |  8 |   RUNNING |   WAITING |
|                48 |  6 |     READY |   RUNNING |
|                50 |  1 |       NEW |     READY |
|                50 |  6 |   RUNNING |   WAITING |
|                50 |  1 |     READY |   RUNNING |
|                51 |  8 |   WAITING |     READY |
|                55 |  6 |   WAITING |     READY |
|                90 |  1 |   RUNNING |   WAITING |
|                90 |  6 |     READY |   RUNNING |
|                92 |  6 |   RUNNING |   WAITING |
|                92 |  8 |     READY |   RUNNING |
|                97 |  6 |   WAITING |     READY |
|                97 |  8 |   RUNNING |   WAITING |
|                97 |  6 |     READY |   RUNNING |
|                99 |  6 |   RUNNING |   WAITING |
|               100 |  8 |   WAITING |     READY |
|               100 |  8 |     READY |   RUNNING |
|               104 |  6 |   WAITING |     READY |
|               105 |  8 |   RUNNING |   WAITING |
|               105 |  6 |     READY |   RUNNING |
|               107 |  6 |   RUNNING |   WAITING |
|               108 |  8 |   WAITING |     READY |
|               108 |  8 |     READY |   RUNNING |
|               110 |  1 |   WAITING |     READY |
|               112 |  6 |   WAITING |     READY |
|               113 |  8 |   RUNNING |   WAITING |
|               113 |  1 |     READY |   RUNNING |
|               116 |  8 |   WAITING |     READY |
|               153 |  1 |   RUNNING |   WAITING |
|               153 |  6 |     READY |   RUNNING |
|               155 |  6 |   RUNNING |   WAITING |
|               155 |  8 |     READY |   RUNNING |
|               160 |  6 |   WAITING |     READY |
|               160 |  8 |   RUNNING |   WAITING |
|               160 |  6 |     READY |   RUNNING |
|               162 |  6 |   RUNNING |   WAITING |
|               163 |  8 |   WAITING |     READY |
|               163 |  8 |     READY |   RUNNING |
|               167 |  6 |   WAITING |     READY |
|               168 |  8 |   RUNNING |   WAITING |
|               168 |  6 |     READY |   RUNNING |
|               170 |  6 |   RUNNING |   WAITING |
|               171 |  8 |   WAITING |     READY |
|               171 |  8 |     READY |   RUNNING |
|               173 |  1 |   WAITING |     READY |
|               175 |  6 |   WAITING |     READY |
|               176 |  8 |   RUNNING |   WAITING |
|               176 |  1 |     READY |   RUNNING |
|               179 |  8 |   WAITING |     READY |
|               216 |  1 |   RUNNING |   WAITING |
|               216 |  6 |     READY |   RUNNING |
|               218 |  6 |   RUNNING |   WAITING |
|               218 |  8 |     READY |   RUNNING |
|               223 |  6 |   WAITING |     READY |
|               223 |  8 |   RUNNING |   WAITING |
|               223 |  6 |     READY |   RUNNING |
|               225 |  6 |   RUNNING |TERMINATED |
|               226 |  8 |   WAITING |     READY |
|               226 |  8 |     READY |   RUNNING |
|               231 |  8 |   RUNNING |   WAITING |
|               234 |  8 |   WAITING |     READY |
|               234 |  8 |     READY |   RUNNING |
|               236 |  1 |   WAITING |     READY |
|               239 |  8 |   RUNNING |   WAITING |
|               239 |  1 |     READY |   RUNNING |
|               242 |  8 |   WAITING |     READY |
|               279 |  1 |   RUNNING |   WAITING |
|               279 |  8 |     READY |   RUNNING |
|               284 |  8 |   RUNNING |   WAITING |
|               287 |  8 |   WAITING |     READY |
|               287 |  8 |     READY |   RUNNING |
|               292 |  8 |   RUNNING |   WAITING |
|               295 |  8 |   WAITING |     READY |
|               295 |  8 |     READY |   RUNNING |
|               299 |  1 |   WAITING |     READY |
|               300 |  8 |   RUNNING |   WAITING |
|               300 |  1 |     READY |   RUNNING |
|               303 |  8 |   WAITING |     READY |
|               340 |  1 |   RUNNING |   WAITING |
|               340 |  8 |     READY |   RUNNING |
|               345 |  8 |   RUNNING |   WAITING |
|               348 |  8 |   WAITING |     READY |
|               348 |  8 |     READY |   RUNNING |
|               353 |  8 |   RUNNING |   WAITING |
|               356 |  8 |   WAITING |     READY |
|               356 |  8 |     READY |   RUNNING |
|               360 |  1 |   WAITING |     READY |
|               361 |  8 |   RUNNING |   WAITING |
|               361 |  1 |     READY |   RUNNING |
|               364 |  8 |   WAITING |     READY |
|               401 |  1 |   RUNNING |   WAITING |
|               401 |  8 |     READY |   RUNNING |
