+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |  8 |       NEW |     READY |
|                 0 |  1 |       NEW |     READY |
|                 0 |  1 |     READY |   RUNNING |
|                 1 |  1 |   RUNNING |   WAITING |
|                 1 |  8 |     READY |   RUNNING |
|                 3 |  3 |       NEW |     READY |
|                 3 |  7 |       NEW |     READY |
|                 3 |  8 |   RUNNING |     READY |
|                 3 |  3 |     READY |   RUNNING |
|                 4 |  1 |   WAITING |     READY |
|                 4 |  3 |   RUNNING |     READY |
|                 4 |  1 |     READY |   RUNNING |
|                 4 |  1 |   RUNNING |   WAITING |
|                 4 |  3 |     READY |   RUNNING |
|                 8 |  1 |   WAITING |     READY |
|                 8 |  3 |   RUNNING |     READY |
|                 8 |  1 |     READY |   RUNNING |
|                 8 |  1 |   RUNNING |   WAITING |
|                 8 |  3 |     READY |   RUNNING |
|                12 |  1 |   WAITING |     READY |
|                12 |  3 |   RUNNING |     READY |
|                12 |  1 |     READY |   RUNNING |
|                12 |  1 |   RUNNING |   WAITING |
|                12 |  3 |     READY |   RUNNING |
|                16 |  1 |   WAITING |     READY |
|                16 |  3 |   RUNNING |     READY |
|                16 |  1 |     READY |   RUNNING |
|                16 |  1 |   RUNNING |   WAITING |
|                16 |  3 |     READY |   RUNNING |
|                20 |  1 |   WAITING |     READY |
|                20 |  3 |   RUNNING |     READY |
|                20 |  1 |     READY |   RUNNING |
|                20 |  1 |   RUNNING |   WAITING |
|                20 |  3 |     READY |   RUNNING |
|                24 |  1 |   WAITING |     READY |
|                24 |  3 |   RUNNING |     READY |
|                24 |  1 |     READY |   RUNNING |
|                24 |  1 |   RUNNING |   WAITING |
|                24 |  3 |     READY |   RUNNING |
|                28 |  1 |   WAITING |     READY |
|                28 |  3 |   RUNNING |     READY |
|                28 |  1 |     READY |   RUNNING |
|                28 |  1 |   RUNNING |   WAITING |
|                28 |  3 |     READY |   RUNNING |
|                32 |  1 |   WAITING |     READY |
|                32 |  3 |   RUNNING |     READY |
|                32 |  1 |     READY |   RUNNING |
|                32 |  1 |   RUNNING |   WAITING |
|                32 |  3 |     READY |   RUNNING |
|                36 |  1 |   WAITING |     READY |
|                36 |  3 |   RUNNING |     READY |
|                36 |  1 |     READY |   RUNNING |
|                36 |  1 |   RUNNING |   WAITING |
|                36 |  3 |     READY |   RUNNING |
|                40 |  1 |   WAITING |     READY |
|                40 |  3 |   RUNNING |     READY |
|                40 |  1 |     READY |   RUNNING |
|                40 |  1 |   RUNNING |   WAITING |
|                40 |  3 |     READY |   RUNNING |
|                44 |  1 |   WAITING |     READY |
|                44 |  3 |   RUNNING |     READY |
|                44 |  1 |     READY |   RUNNING |
|                44 |  1 |   RUNNING |   WAITING |
|                44 |  3 |     READY |   RUNNING |
|                48 |  1 |   WAITING |     READY |
|                48 |  3 |   RUNNING |     READY |
|                48 |  1 |     READY |   RUNNING |
|                48 |  1 |   RUNNING |   WAITING |
|                48 |  3 |     READY |   RUNNING |
|                52 |  1 |   WAITING |     READY |
|                52 |  3 |   RUNNING |     READY |
|                52 |  1 |     READY |   RUNNING |
|                52 |  1 |   RUNNING |   WAITING |
|                52 |  3 |     READY |   RUNNING |
|                56 |  1 |   WAITING |     READY |
|                56 |  3 |   RUNNING |     READY |
|                56 |  1 |     READY |   RUNNING |
|                56 |  1 |   RUNNING |   WAITING |
|                56 |  3 |     READY |   RUNNING |
|                60 |  1 |   WAITING |     READY |
|                60 |  3 |   RUNNING |     READY |
|                60 |  1 |     READY |   RUNNING |
|                60 |  1 |   RUNNING |   WAITING |
|                60 |  3 |     READY |   RUNNING |
|                64 |  1 |   WAITING |     READY |
|                64 |  3 |   RUNNING |     READY |
|                64 |  1 |     READY |   RUNNING |
|                64 |  1 |   RUNNING |   WAITING |
|                64 |  3 |     READY |   RUNNING |
|                68 |  1 |   WAITING |     READY |
|                68 |  3 |   RUNNING |     READY |
|                68 |  1 |     READY |   RUNNING |
|                68 |  1 |   RUNNING |   WAITING |
|                68 |  3 |     READY |   RUNNING |
|                72 |  1 |   WAITING |     READY |
|                72 |  3 |   RUNNING |     READY |
|                72 |  1 |     READY |   RUNNING |
|                72 |  1 |   RUNNING |   WAITING |
|                72 |  3 |     READY |   RUNNING |
|                76 |  1 |   WAITING |     READY |
|                76 |  3 |   RUNNING |     READY |
|                76 |  1 |     READY |   RUNNING |
|                76 |  1 |   RUNNING |   WAITING |
|                76 |  3 |     READY |   RUNNING |
|                80 |  1 |   WAITING |     READY |
|                80 |  3 |   RUNNING |     READY |
|                80 |  1 |     READY |   RUNNING |
|                80 |  1 |   RUNNING |   WAITING |
|                80 |  3 |     READY |   RUNNING |
|                84 |  1 |   WAITING |     READY |
|                84 |  3 |   RUNNING |     READY |
|                84 |  1 |     READY |   RUNNING |
|                84 |  1 |   RUNNING |   WAITING |
|                84 |  3 |     READY |   RUNNING |
|                88 |  1 |   WAITING |     READY |
|                88 |  3 |   RUNNING |     READY |
|                88 |  1 |     READY |   RUNNING |
|                88 |  1 |   RUNNING |   WAITING |
|                88 |  3 |     READY |   RUNNING |
|                92 |  1 |   WAITING |     READY |
|                92 |  3 |   RUNNING |     READY |
|                92 |  1 |     READY |   RUNNING |
|                92 |  1 |   RUNNING |   WAITING |
|                92 |  3 |     READY |   RUNNING |
|                96 |  1 |   WAITING |     READY |
|                96 |  3 |   RUNNING |     READY |
|                96 |  1 |     READY |   RUNNING |
|                96 |  1 |   RUNNING |   WAITING |
|                96 |  3 |     READY |   RUNNING |
|               100 |  1 |   WAITING |     READY |
|               100 |  3 |   RUNNING |     READY |
|               100 |  1 |     READY |   RUNNING |
|               100 |  1 |   RUNNING |   WAITING |
|               100 |  3 |     READY |   RUNNING |
|               104 |  1 |   WAITING |     READY |
|               104 |  3 |   RUNNING |     READY |
|               104 |  1 |     READY |   RUNNING |
|               104 |  1 |   RUNNING |   WAITING |
|               104 |  3 |     READY |   RUNNING |
|               108 |  1 |   WAITING |     READY |
|               108 |  3 |   RUNNING |     READY |
|               108 |  1 |     READY |   RUNNING |
|               108 |  1 |   RUNNING |   WAITING |
|               108 |  3 |     READY |   RUNNING |
|               112 |  1 |   WAITING |     READY |
|               112 |  3 |   RUNNING |     READY |
|               112 |  1 |     READY |   RUNNING |
|               112 |  1 |   RUNNING |   WAITING |
|               112 |  3 |     READY |   RUNNING |
|               116 |  1 |   WAITING |     READY |
|               116 |  3 |   RUNNING |     READY |
|               116 |  1 |     READY |   RUNNING |
|               116 |  1 |   RUNNING |   WAITING |
|               116 |  3 |     READY |   RUNNING |
|               120 |  1 |   WAITING |     READY |
|               120 |  3 |   RUNNING |     READY |
|               120 |  1 |     READY |   RUNNING |
|               120 |  1 |   RUNNING |   WAITING |
|               120 |  3 |     READY |   RUNNING |
|               124 |  1 |   WAITING |     READY |
|               124 |  3 |   RUNNING |     READY |
|               124 |  1 |     READY |   RUNNING |
|               124 |  1 |   RUNNING |   WAITING |
|               124 |  3 |     READY |   RUNNING |
|               128 |  1 |   WAITING |     READY |
|               128 |  3 |   RUNNING |     READY |
|               128 |  1 |     READY |   RUNNING |
|               128 |  1 |   RUNNING |   WAITING |
|               128 |  3 |     READY |   RUNNING |
|               132 |  1 |   WAITING |     READY |
|               132 |  3 |   RUNNING |     READY |
|               132 |  1 |     READY |   RUNNING |
|               132 |  1 |   RUNNING |   WAITING |
|               132 |  3 |     READY |   RUNNING |
|               136 |  1 |   WAITING |     READY |
|               136 |  3 |   RUNNING |     READY |
|               136 |  1 |     READY |   RUNNING |
|               136 |  1 |   RUNNING |   WAITING |
|               136 |  3 |     READY |   RUNNING |
|               140 |  1 |   WAITING |     READY |
|               140 |  3 |   RUNNING |     READY |
|               140 |  1 |     READY |   RUNNING |
|               140 |  1 |   RUNNING |   WAITING |
|               140 |  3 |     READY |   RUNNING |
|               144 |  1 |   WAITING |     READY |
|               144 |  3 |   RUNNING |     READY |
|               144 |  1 |     READY |   RUNNING |
|               144 |  1 |   RUNNING |   WAITING |
|               144 |  3 |     READY |   RUNNING |
|               148 |  1 |   WAITING |     READY |
|               148 |  3 |   RUNNING |     READY |
|               148 |  1 |     READY |   RUNNING |
|               148 |  1 |   RUNNING |   WAITING |
|               148 |  3 |     READY |   RUNNING |
|               152 |  1 |   WAITING |     READY |
|               152 |  3 |   RUNNING |     READY |
|               152 |  1 |     READY |   RUNNING |
|               152 |  1 |   RUNNING |   WAITING |
|               152 |  3 |     READY |   RUNNING |
|               156 |  1 |   WAITING |     READY |
|               156 |  3 |   RUNNING |     READY |
|               156 |  1 |     READY |   RUNNING |
|               156 |  1 |   RUNNING |   WAITING |
|               156 |  3 |     READY |   RUNNING |
