+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |  6 |       NEW |     READY |
|                 0 |  6 |     READY |   RUNNING |
|                 2 |  6 |   RUNNING |   WAITING |
|                 3 |  8 |       NEW |     READY |
|                 3 |  8 |     READY |   RUNNING |
|                 7 |  6 |   WAITING |     READY |
|                 7 |  8 |   RUNNING |     READY |
|                 7 |  6 |     READY |   RUNNING |
|                 7 |  6 |   RUNNING |   WAITING |
|                 7 |  8 |     READY |   RUNNING |
|                 8 |  8 |   RUNNING |   WAITING |
|                14 |  6 |   WAITING |     READY |
|                14 |  6 |     READY |   RUNNING |
|                15 |  8 |   WAITING |     READY |
|                16 |  6 |   RUNNING |   WAITING |
|                16 |  8 |     READY |   RUNNING |
|                21 |  6 |   WAITING |     READY |
|                21 |  8 |   RUNNING |     READY |
|                21 |  6 |     READY |   RUNNING |
|                21 |  6 |   RUNNING |   WAITING |
|                21 |  8 |     READY |   RUNNING |
|                26 |  8 |   RUNNING |   WAITING |
|                28 |  6 |   WAITING |     READY |
|                28 |  6 |     READY |   RUNNING |
|                29 |  8 |   WAITING |     READY |
|                30 |  6 |   RUNNING |   WAITING |
|                30 |  8 |     READY |   RUNNING |
|                35 |  6 |   WAITING |     READY |
|                35 |  8 |   RUNNING |     READY |
|                35 |  6 |     READY |   RUNNING |
|                35 |  6 |   RUNNING |   WAITING |
|                35 |  8 |     READY |   RUNNING |
|                40 |  8 |   RUNNING |   WAITING |
|                42 |  6 |   WAITING |     READY |
|                42 |  6 |     READY |   RUNNING |
|                43 |  8 |   WAITING |     READY |
|                44 |  6 |   RUNNING |   WAITING |
|                44 |  8 |     READY |   RUNNING |
|                49 |  6 |   WAITING |     READY |
|                49 |  8 |   RUNNING |     READY |
|                49 |  6 |     READY |   RUNNING |
|                49 |  6 |   RUNNING |   WAITING |
|                49 |  8 |     READY |   RUNNING |
|                50 |  1 |       NEW |     READY |
|                50 |  8 |   RUNNING |     READY |
|                50 |  1 |     READY |   RUNNING |
|                50 |  1 |   RUNNING |   WAITING |
|                50 |  8 |     READY |   RUNNING |
|                54 |  8 |   RUNNING |   WAITING |
|                56 |  6 |   WAITING |     READY |
|                56 |  6 |     READY |   RUNNING |
|                58 |  8 |   WAITING |     READY |
|                58 |  6 |   RUNNING |   WAITING |
|                58 |  8 |     READY |   RUNNING |
|                63 |  6 |   WAITING |     READY |
|                63 |  8 |   RUNNING |     READY |
|                63 |  6 |     READY |   RUNNING |
|                63 |  6 |   RUNNING |   WAITING |
|                63 |  8 |     READY |   RUNNING |
|                68 |  8 |   RUNNING |   WAITING |
|                70 |  6 |   WAITING |     READY |
|                70 |  6 |     READY |   RUNNING |
|                71 |  8 |   WAITING |     READY |
|                72 |  6 |   RUNNING |   WAITING |
|                72 |  8 |     READY |   RUNNING |
|                77 |  6 |   WAITING |     READY |
|                77 |  8 |   RUNNING |     READY |
|                77 |  6 |     READY |   RUNNING |
|                77 |  6 |   RUNNING |   WAITING |
|                77 |  8 |     READY |   RUNNING |
|                82 |  8 |   RUNNING |   WAITING |
|                84 |  6 |   WAITING |     READY |
|                84 |  6 |     READY |   RUNNING |
|                85 |  8 |   WAITING |     READY |
|                86 |  6 |   RUNNING |   WAITING |
|                86 |  8 |     READY |   RUNNING |
|                91 |  6 |   WAITING |     READY |
|                91 |  8 |   RUNNING |     READY |
|                91 |  6 |     READY |   RUNNING |
|                91 |  6 |   RUNNING |   WAITING |
|                91 |  8 |     READY |   RUNNING |
|                96 |  8 |   RUNNING |   WAITING |
|                98 |  6 |   WAITING |     READY |
|                98 |  6 |     READY |   RUNNING |
|                99 |  8 |   WAITING |     READY |
|               100 |  6 |   RUNNING |   WAITING |
|               100 |  8 |     READY |   RUNNING |
|               105 |  6 |   WAITING |     READY |
|               105 |  8 |   RUNNING |     READY |
|               105 |  6 |     READY |   RUNNING |
|               105 |  6 |   RUNNING |   WAITING |
|               105 |  8 |     READY |   RUNNING |
|               110 |  1 |   WAITING |     READY |
|               110 |  8 |   RUNNING |     READY |
|               110 |  1 |     READY |   RUNNING |
|               110 |  1 |   RUNNING |   WAITING |
|               110 |  8 |     READY |   RUNNING |
|               112 |  6 |   WAITING |     READY |
|               112 |  8 |   RUNNING |     READY |
|               112 |  6 |     READY |   RUNNING |
|               112 |  6 |   RUNNING |   WAITING |
|               112 |  8 |     READY |   RUNNING |
|               115 |  8 |   RUNNING |   WAITING |
|               119 |  6 |   WAITING |     READY |
|               119 |  6 |     READY |   RUNNING |
|               120 |  8 |   WAITING |     READY |
|               121 |  6 |   RUNNING |   WAITING |
|               121 |  8 |     READY |   RUNNING |
|               126 |  6 |   WAITING |     READY |
|               126 |  8 |   RUNNING |     READY |
|               126 |  6 |     READY |   RUNNING |
|               126 |  6 |   RUNNING |   WAITING |
|               126 |  8 |     READY |   RUNNING |
|               131 |  8 |   RUNNING |   WAITING |
|               133 |  6 |   WAITING |     READY |
|               133 |  6 |     READY |   RUNNING |
|               134 |  8 |   WAITING |     READY |
|               135 |  6 |   RUNNING |   WAITING |
|               135 |  8 |     READY |   RUNNING |
|               140 |  6 |   WAITING |     READY |
|               140 |  8 |   RUNNING |     READY |
|               140 |  6 |     READY |   RUNNING |
|               140 |  6 |   RUNNING |   WAITING |
|               140 |  8 |     READY |   RUNNING |
|               145 |  8 |   RUNNING |   WAITING |
|               147 |  6 |   WAITING |     READY |
|               147 |  6 |     READY |   RUNNING |
|               148 |  8 |   WAITING |     READY |
|               149 |  6 |   RUNNING |   WAITING |
