+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |  6 |       NEW |     READY |
|                 0 |  6 |     READY |   RUNNING |
|                 2 |  6 |   RUNNING |   WAITING |
|                 3 |  8 |       NEW |     READY |
|                 3 |  8 |     READY |   RUNNING |
|                 7 |  6 |   WAITING |     READY |
|                 8 |  8 |   RUNNING |   WAITING |
|                 8 |  6 |     READY |   RUNNING |
|                10 |  6 |   RUNNING |   WAITING |
|                11 |  8 |   WAITING |     READY |
|                11 |  8 |     READY |   RUNNING |
|                15 |  6 |   WAITING |     READY |
|                16 |  8 |   RUNNING |   WAITING |
|                16 |  6 |     READY |   RUNNING |
|                18 |  6 |   RUNNING |   WAITING |
|                19 |  8 |   WAITING |     READY |
|                19 |  8 |     READY |   RUNNING |
|                23 |  6 |   WAITING |     READY |
|                24 |  8 |   RUNNING |   WAITING |
|                24 |  6 |     READY |   RUNNING |
|                26 |  6 |   RUNNING |   WAITING |
|                27 |  8 |   WAITING |     READY |
|                27 |  8 |     READY |   RUNNING |
|                31 |  6 |   WAITING |     READY |
|                32 |  8 |   RUNNING |   WAITING |
|                32 |  6 |     READY |   RUNNING |
|                34 |  6 |   RUNNING |   WAITING |
|                35 |  8 |   WAITING |     READY |
|                35 |  8 |     READY |   RUNNING |
|                39 |  6 |   WAITING |     READY |
|                40 |  8 |   RUNNING |   WAITING |
|                40 |  6 |     READY |   RUNNING |
|                42 |  6 |   RUNNING |   WAITING |
|                43 |  8 |   WAITING |     READY |
|                43 |  8 |     READY |   RUNNING |
|                47 |  6 |   WAITING |     READY |
|                48 |  8 |   RUNNING |   WAITING |
|                48 |  6 |     READY |   RUNNING |
|                50 |  1 |       NEW |     READY |
|                50 |  6 |   RUNNING |   WAITING |
|                50 |  1 |     READY |   RUNNING |
|                51 |  8 |   WAITING |     READY |
|                55 |  6 |   WAITING |     READY |
|                90 |  3 |       NEW |     READY |
|                90 |  1 |   RUNNING |   WAITING |
|                90 |  8 |     READY |   RUNNING |
|                95 |  8 |   RUNNING |   WAITING |
|                95 |  6 |     READY |   RUNNING |
|                97 |  6 |   RUNNING |   WAITING |
|                97 |  3 |     READY |   RUNNING |
|                98 |  8 |   WAITING |     READY |
|                99 |  3 |   RUNNING |   WAITING |
|                99 |  8 |     READY |   RUNNING |
|               100 |  9 |       NEW |     READY |
|               102 |  6 |   WAITING |     READY |
|               104 |  3 |   WAITING |     READY |
|               104 |  8 |   RUNNING |   WAITING |
|               104 |  9 |     READY |   RUNNING |
|               107 |  8 |   WAITING |     READY |
|               109 |  9 |   RUNNING |   WAITING |
|               109 |  6 |     READY |   RUNNING |
|               110 |  1 |   WAITING |     READY |
|               111 |  6 |   RUNNING |   WAITING |
|               111 |  3 |     READY |   RUNNING |
|               112 |  9 |   WAITING |     READY |
|               113 |  3 |   RUNNING |   WAITING |
|               113 |  8 |     READY |   RUNNING |
|               116 |  6 |   WAITING |     READY |
|               118 |  3 |   WAITING |     READY |
|               118 |  8 |   RUNNING |   WAITING |
|               118 |  1 |     READY |   RUNNING |
|               121 |  8 |   WAITING |     READY |
|               158 |  1 |   RUNNING |   WAITING |
|               158 |  9 |     READY |   RUNNING |
|               163 |  9 |   RUNNING |   WAITING |
|               163 |  6 |     READY |   RUNNING |
|               165 |  6 |   RUNNING |   WAITING |
|               165 |  3 |     READY |   RUNNING |
|               166 |  9 |   WAITING |     READY |
|               167 |  3 |   RUNNING |   WAITING |
|               167 |  8 |     READY |   RUNNING |
|               170 |  6 |   WAITING |     READY |
|               172 |  3 |   WAITING |     READY |
|               172 |  8 |   RUNNING |   WAITING |
|               172 |  9 |     READY |   RUNNING |
|               175 |  8 |   WAITING |     READY |
|               177 |  9 |   RUNNING |   WAITING |
|               177 |  6 |     READY |   RUNNING |
|               178 |  1 |   WAITING |     READY |
|               179 |  6 |   RUNNING |   WAITING |
|               179 |  3 |     READY |   RUNNING |
|               180 |  9 |   WAITING |     READY |
|               181 |  3 |   RUNNING |   WAITING |
|               181 |  8 |     READY |   RUNNING |
|               184 |  6 |   WAITING |     READY |
|               186 |  3 |   WAITING |     READY |
|               186 |  8 |   RUNNING |   WAITING |
|               186 |  1 |     READY |   RUNNING |
|               189 |  8 |   WAITING |     READY |
|               226 |  1 |   RUNNING |   WAITING |
|               226 |  9 |     READY |   RUNNING |
|               231 |  9 |   RUNNING |   WAITING |
|               231 |  6 |     READY |   RUNNING |
|               233 |  6 |   RUNNING |   WAITING |
|               233 |  3 |     READY |   RUNNING |
|               234 |  9 |   WAITING |     READY |
|               235 |  3 |   RUNNING |   WAITING |
|               235 |  8 |     READY |   RUNNING |
|               238 |  6 |   WAITING |     READY |
|               240 |  3 |   WAITING |     READY |
|               240 |  8 |   RUNNING |   WAITING |
|               240 |  9 |     READY |   RUNNING |
|               243 |  8 |   WAITING |     READY |
|               245 |  9 |   RUNNING |   WAITING |
|               245 |  6 |     READY |   RUNNING |
|               246 |  1 |   WAITING |     READY |
|               247 |  6 |   RUNNING |   WAITING |
|               247 |  3 |     READY |   RUNNING |
|               248 |  9 |   WAITING |     READY |
|               249 |  3 |   RUNNING |   WAITING |
|               249 |  8 |     READY |   RUNNING |
|               252 |  6 |   WAITING |     READY |
|               254 |  3 |   WAITING |     READY |
|               254 |  8 |   RUNNING |   WAITING |
|               254 |  1 |     READY |   RUNNING |
|               257 |  8 |   WAITING |     READY |
|               294 |  1 |   RUNNING |   WAITING |
|               294 |  9 |     READY |   RUNNING |
|               299 |  9 |   RUNNING |   WAITING |
